[15:44:18] |gui_weather.py[main_guiline:341] |INFO     |配置文件请不要随意修改
[15:44:18] |gui_weather.py[main_guiline:342] |INFO     |本项目所有程序均使用本地网络进行请求
[15:44:18] |gui_weather.py[main_guiline:343] |INFO     |如果使用了VPN或代理将不会生效
[15:44:18] |gui_weather.py[main_guiline:346] |INFO     |程序在正常运行
[15:44:20] |gui_weather.py[update_weather_dataline:175] |INFO     |当前地区:九龙城区
[15:44:20] |get_weather.py[get_weather_realtime_infoline:19] |INFO     |获取中...
[15:44:25] |get_weather.py[get_weather_realtime_infoline:28] |INFO     |实时天气获取成功
[15:44:25] |get_weather.py[get_weather_forecast_infoline:37] |INFO     |获取中...
[15:44:27] |get_weather.py[get_weather_forecast_infoline:46] |INFO     |天气预报获取成功
[15:44:27] |get_weather.py[get_weather_24h_infoline:55] |INFO     |获取中...
[15:45:58] |gui_weather.py[main_guiline:341] |INFO     |配置文件请不要随意修改
[15:45:58] |gui_weather.py[main_guiline:342] |INFO     |本项目所有程序均使用本地网络进行请求
[15:45:58] |gui_weather.py[main_guiline:343] |INFO     |如果使用了VPN或代理将不会生效
[15:45:58] |gui_weather.py[main_guiline:346] |INFO     |程序在正常运行
[15:45:58] |files_zip.py[zip_folderline:52] |INFO     |当前文件夹是空的
[15:46:01] |gui_weather.py[update_weather_dataline:175] |INFO     |当前地区:九龙城区
[15:46:01] |get_weather.py[get_weather_realtime_infoline:19] |INFO     |获取中...
[15:46:05] |get_weather.py[get_weather_realtime_infoline:28] |INFO     |实时天气获取成功
[15:46:05] |get_weather.py[get_weather_forecast_infoline:37] |INFO     |获取中...
[15:46:07] |get_weather.py[get_weather_forecast_infoline:46] |INFO     |天气预报获取成功
[15:46:07] |get_weather.py[get_weather_24h_infoline:55] |INFO     |获取中...
[15:46:09] |get_weather.py[get_weather_24h_infoline:64] |INFO     |天气曲线获取成功
[15:46:09] |gui_weather.py[update_weather_dataline:179] |INFO     |10分钟后自动更新
[15:49:51] |gui_weather.py[main_guiline:341] |INFO     |配置文件请不要随意修改
[15:49:51] |gui_weather.py[main_guiline:342] |INFO     |本项目所有程序均使用本地网络进行请求
[15:49:51] |gui_weather.py[main_guiline:343] |INFO     |如果使用了VPN或代理将不会生效
[15:49:51] |gui_weather.py[main_guiline:346] |INFO     |程序在正常运行
[15:49:52] |files_zip.py[zip_folderline:52] |INFO     |当前文件夹是空的
[15:50:13] |gui_weather.py[main_guiline:341] |INFO     |配置文件请不要随意修改
[15:50:13] |gui_weather.py[main_guiline:342] |INFO     |本项目所有程序均使用本地网络进行请求
[15:50:13] |gui_weather.py[main_guiline:343] |INFO     |如果使用了VPN或代理将不会生效
[15:50:13] |gui_weather.py[main_guiline:346] |INFO     |程序在正常运行
[15:50:13] |files_zip.py[zip_folderline:52] |INFO     |当前文件夹是空的
[15:50:18] |gui_weather.py[update_weather_dataline:175] |INFO     |当前地区:九龙城区
[15:50:18] |get_weather.py[get_weather_realtime_infoline:19] |INFO     |获取中...
[15:50:20] |get_weather.py[get_weather_realtime_infoline:28] |INFO     |实时天气获取成功
[15:50:20] |get_weather.py[get_weather_forecast_infoline:37] |INFO     |获取中...
[15:50:23] |get_weather.py[get_weather_forecast_infoline:46] |INFO     |天气预报获取成功
[15:50:23] |get_weather.py[get_weather_24h_infoline:55] |INFO     |获取中...
[15:50:25] |get_weather.py[get_weather_24h_infoline:64] |INFO     |天气曲线获取成功
[15:50:25] |gui_weather.py[update_weather_dataline:179] |INFO     |10分钟后自动更新
